T,Rlow,R,Rhigh
-40,4107.1518,4205.6861,4306.4767
-39,3827.5518,3917.9899,4010.4646
-38,3568.8617,3651.903,3736.7831
-37,3329.3831,3405.6633,3483.604
-36,3107.5664,3177.6632,3249.2601
-35,2901.996,2966.4355,3032.23
-34,2711.379,2770.6396,2831.1247
-33,2534.5329,2589.0507,2644.6751
-32,2370.3762,2420.5484,2471.7207
-31,2217.9188,2264.1075,2311.2003
-30,2076.2537,2118.7894,2162.1423
-29,1944.55,1983.734,2023.6571
-28,1822.0454,1858.1532,1894.9292
-27,1708.0407,1741.3238,1775.2111
-26,1601.8941,1632.5823,1663.8169
-25,1503.0157,1531.3193,1560.1169
-24,1410.6782,1436.7851,1463.3386
-23,1324.5997,1348.6869,1373.1778
-22,1244.318,1266.5473,1289.1415
-21,1169.4075,1189.9272,1210.7767
-20,1099.4762,1118.4222,1137.6663
-19,1034.1633,1051.6602,1069.4263
-18,973.1361,989.2981,1005.7033
-17,916.0878,931.0196,946.1711
-16,862.7353,876.5332,890.5294
-15,812.8173,825.5695,838.5008
-14,766.0925,777.8801,789.8294
-13,722.3378,733.2355,744.279
-12,681.3471,691.4233,701.6311
-11,642.9296,652.2475,661.6838
-10,606.9089,615.5264,624.2506
-9,573.0724,581.0419,589.1075
-8,541.3265,548.6973,556.1547
-7,511.5299,518.3476,525.243
-6,483.5518,489.8581,496.2342
-5,457.2706,463.1041,469.0002
-4,432.605,438.0017,443.4547
-3,409.4135,414.4062,419.4493
-2,387.5999,392.2187,396.8825
-1,367.0746,371.3472,375.6601
0,347.7543,351.7064,355.6946
1,329.5422,333.1973,336.8846
2,312.3894,315.7694,319.178
3,296.2283,299.3535,302.5041
4,280.996,283.8852,286.797
5,266.6341,269.3046,271.9951
6,253.088,255.5559,258.0414
7,240.3069,242.587,244.8826
8,228.2435,230.3495,232.4691
9,216.8535,218.7981,220.7546
10,206.0957,207.8907,209.696
11,195.9316,197.5878,199.2531
12,186.3252,187.8528,189.3882
13,177.243,178.6513,180.0662
14,168.6536,169.9511,171.2544
15,160.5275,161.7224,162.9222
16,152.8342,153.9339,155.0376
17,145.5522,146.5635,147.5782
18,138.6573,139.5866,140.5187
19,132.1268,132.9802,133.8357
20,125.9396,126.7225,127.507
21,120.0764,120.7938,121.5125
22,114.5177,115.1745,115.8321
23,109.2461,109.8466,110.4477
24,104.2453,104.7937,105.3423
25,99.5,100,100.5
26,94.9516,95.451,95.9506
27,90.6351,91.1329,91.6311
28,86.5375,87.0328,87.5287
29,82.6466,83.1387,83.6315
30,78.9509,79.439,79.9282
31,75.4401,75.9237,76.4085
